application_id,id_number,name,nationality,date_of_birth,gender,address,issue_date,expiry_date,issuing_authority
APP-2024-0001,784-1988-1602181-2,Charles Wright,British,1988-11-04,Male,"Apartment 602, Building 373, City Center, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0002,784-1986-5986350-2,Alicia Hayes,American,1986-04-18,Female,"Apartment 133, Building 733, Al Nakheel, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0003,784-1978-9985876-1,Aisha Al Qasimi,Palestinian,1978-01-18,Female,"Apartment 2151, Building 385, Al Majaz, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0004,784-1973-9003310-1,Jesse Patel,Pakistani,1973-10-21,Male,"Apartment 1213, Building 707, Corniche, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0005,784-1985-9969966-9,Scott Khan,Pakistani,1985-10-04,Male,"Apartment 2112, Building 330, City Center, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0006,784-1983-6871452-5,Carrie Perez,Egyptian,1983-07-29,Female,"Apartment 376, Building 38, Marina, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0007,784-1982-3169948-0,Mohammed Al Nahyan,Jordanian,1982-01-04,Male,"Apartment 894, Building 948, Al Nakheel, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0008,784-1983-9004586-7,Ali Al Shamsi,Palestinian,1983-09-06,Male,"Apartment 1491, Building 501, Al Qasimia, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0009,784-1980-3531752-9,Hamad Al Shamsi,Jordanian,1980-05-09,Male,"Apartment 2479, Building 930, Al Qasimia, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0010,784-1988-4937945-8,Anthony Khan,Pakistani,1988-06-08,Male,"Apartment 964, Building 765, Al Majaz, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0011,784-1977-5788164-2,Rebecca Khan,Pakistani,1977-01-28,Female,"Apartment 1146, Building 188, Al Qasimia, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0012,784-1978-4986019-0,Amna Al Nuaimi,Syrian,1978-08-15,Female,"Apartment 997, Building 741, Al Nakheel, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0013,784-1982-7515848-2,Isabel Brown,American,1982-10-20,Female,"Apartment 226, Building 473, Al Qasimia, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0014,784-1992-5354053-0,Fatima Al Qasimi,Syrian,1992-02-27,Female,"Apartment 1228, Building 269, Al Majaz, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0015,784-1977-3172770-5,Amna Al Mazrouei,Jordanian,1977-03-20,Female,"Apartment 1564, Building 885, Al Majaz, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0016,784-2000-9387991-8,Joshua Ramirez,Filipino,2000-06-12,Male,"Apartment 949, Building 67, Al Nakheel, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0017,784-1980-1128104-5,Joseph Rahman,Pakistani,1980-04-25,Male,"Apartment 1915, Building 493, Al Qasimia, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0018,784-1985-1286077-8,Ryan Brown,British,1985-05-29,Male,"Apartment 913, Building 518, Khalifa City, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0019,784-1971-9337102-9,Tommy Rahman,Bangladeshi,1971-11-06,Male,"Apartment 2166, Building 951, City Center, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0020,784-1983-6953429-5,Nicholas Thomas,Filipino,1983-09-02,Male,"Apartment 1419, Building 811, City Center, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0021,784-1989-1165401-9,Shaikha Al Mazrouei,UAE,1989-01-27,Female,"Apartment 1307, Building 707, Downtown, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0022,784-1988-4706883-1,Amna Al Qasimi,Syrian,1988-09-09,Female,"Apartment 558, Building 844, Al Majaz, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0023,784-1982-4409874-6,William Goodman,British,1982-04-23,Male,"Apartment 462, Building 629, Al Qasimia, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0024,784-1999-7181089-7,Saeed Al Shamsi,UAE,1999-08-07,Male,"Apartment 2317, Building 972, Al Reem Island, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0025,784-1983-2943813-4,Michelle Blair,American,1983-08-28,Female,"Apartment 1894, Building 388, Jumeirah, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0026,784-1990-5694359-3,Lindsey Kumar,Pakistani,1990-03-03,Female,"Apartment 1369, Building 305, City Center, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0027,784-1983-9118040-4,Ahmed Al Maktoum,UAE,1983-04-18,Male,"Apartment 206, Building 649, City Center, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0028,784-1989-4819448-0,Cynthia Rose,Filipino,1989-03-08,Female,"Apartment 2005, Building 571, Al Qasimia, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0029,784-1998-7791492-7,Kimberly Rahman,Indian,1998-08-11,Female,"Apartment 1794, Building 680, Al Nakheel, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
