application_id,name,email,phone,address,career_field,current_position,current_company,employment_status,total_experience_years,education,experience,skills,certifications,languages,career_objective,salary_expectation
APP-2024-0001,Charles Wright,charles.wright@hotmail.com,+971583809668,"Apartment 602, Building 373, City Center, Ras Al Khaimah, UAE",construction,,,Unemployed,4,"[{'degree': 'High School Diploma', 'institution': 'Ajman Secondary School', 'graduation_year': 2007, 'gpa': 2.51}]","[{'title': 'Electrician', 'company': 'Grant, Carter and Mason', 'start_date': '2024-04', 'end_date': '2025-10', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Construction Worker', 'company': 'Schneider Inc', 'start_date': '2022-08', 'end_date': '2024-03', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Project Supervisor', 'company': 'Smith-Brown', 'start_date': '2021-07', 'end_date': '2022-12', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}]","['Data Entry', 'PowerPoint', 'Arabic', 'Customer Service', 'English', 'French', 'German', 'Communication', 'Time Management', 'Project Management', 'Microsoft Office']",[],"[{'language': 'English', 'proficiency': 'Native'}, {'language': 'Arabic', 'proficiency': 'Basic'}]",Motivated professional seeking growth opportunities and secure stable employment in a challenging role.,"{'minimum': 3000, 'preferred': 5000, 'maximum': 8000}"
APP-2024-0002,Alicia Hayes,alicia.hayes@hotmail.com,+971569119988,"Apartment 133, Building 733, Al Nakheel, Sharjah, UAE",retail,Shop Assistant,Self-Employed,Self-employed,15,"[{'degree': 'High School Diploma', 'institution': 'Umm Al Quwain Secondary School', 'graduation_year': 2004, 'gpa': 3.81}]","[{'title': 'Store Manager', 'company': 'Self-Employed', 'start_date': '2023-01', 'end_date': 'Present', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Self-employed'}, {'title': 'Cashier', 'company': 'Swanson LLC', 'start_date': '2018-08', 'end_date': '2023-02', 'duration_years': 5, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Store Manager', 'company': 'Decker, Hall and Wilkerson', 'start_date': '2016-07', 'end_date': '2018-01', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Store Manager', 'company': 'Anthony-Grant', 'start_date': '2011-12', 'end_date': '2016-01', 'duration_years': 5, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members', 'Led special projects and initiatives'], 'employment_type': 'Employed'}, {'title': 'Store Manager', 'company': 'Donaldson-Odonnell', 'start_date': '2010-09', 'end_date': '2011-09', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}]","['Tagalog', 'Teamwork', 'PowerPoint', 'Hindi', 'Leadership', 'Customer Service', 'Problem Solving', 'French', 'English', 'Time Management', 'Communication', 'Project Management', 'Computer Literacy', 'Adaptability', 'Microsoft Office']",[],"[{'language': 'English', 'proficiency': 'Native'}, {'language': 'Arabic', 'proficiency': 'Advanced'}]",Dedicated to contributing value and achieving organizational goals and advance to senior leadership positions.,"{'minimum': 19028.166666666668, 'preferred': 22487.833333333332, 'maximum': 27677.333333333332}"
APP-2024-0003,Aisha Al Qasimi,aisha.alqasimi@yahoo.com,+971522105859,"Apartment 2151, Building 385, Al Majaz, Sharjah, UAE",healthcare,Nurse,Vang-King,Employed,3,"[{'degree': 'High School Diploma', 'institution': 'Sharjah Secondary School', 'graduation_year': 1996, 'gpa': 2.93}, {'degree': ""Bachelor's in Engineering"", 'institution': 'UAE University', 'graduation_year': 2000, 'gpa': 3.17}, {'degree': ""Master's in Business Administration"", 'institution': 'American University', 'graduation_year': 2002, 'gpa': 3.46}]","[{'title': 'Nurse', 'company': 'Suarez-Reynolds', 'start_date': '2024-01', 'end_date': 'Present', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Laboratory Technician', 'company': 'Medina, Evans and Vargas', 'start_date': '2022-04', 'end_date': '2024-07', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}]","['Data Entry', 'Bengali', 'PowerPoint', 'Problem Solving', 'French', 'German', 'Time Management', 'Teamwork', 'Computer Literacy', 'Adaptability']","['First Aid Certified', 'Medical Coding']","[{'language': 'Arabic', 'proficiency': 'Native'}, {'language': 'English', 'proficiency': 'Intermediate'}]",Compassionate healthcare professional dedicated to patient care and advance to senior leadership positions.,"{'minimum': 44171.600000000006, 'preferred': 52202.8, 'maximum': 64249.600000000006}"
APP-2024-0004,Jesse Patel,jesse.patel@gmail.com,+971555502395,"Apartment 1213, Building 707, Corniche, Abu Dhabi, UAE",construction,Project Supervisor,"Fields, Hardy and Harris",Employed,27,"[{'degree': 'High School Diploma', 'institution': 'Ajman Secondary School', 'graduation_year': 1992, 'gpa': 2.9}, {'degree': 'Diploma', 'institution': 'Blair Ltd Technical Institute', 'graduation_year': 1994, 'gpa': 3.14}]","[{'title': 'Plumber', 'company': 'Rhodes-Velez', 'start_date': '2022-01', 'end_date': 'Present', 'duration_years': 3, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members', 'Led special projects and initiatives'], 'employment_type': 'Employed'}, {'title': 'Project Supervisor', 'company': 'Lyons-Carpenter', 'start_date': '2020-07', 'end_date': '2022-09', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Electrician', 'company': 'Edwards PLC', 'start_date': '2018-02', 'end_date': '2020-01', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Electrician', 'company': 'Shelton LLC', 'start_date': '2014-07', 'end_date': '2018-10', 'duration_years': 4, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members'], 'employment_type': 'Employed'}, {'title': 'Plumber', 'company': 'Moore Group', 'start_date': '2010-07', 'end_date': '2014-04', 'duration_years': 4, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members'], 'employment_type': 'Employed'}, {'title': 'Plumber', 'company': 'Hall PLC', 'start_date': '2007-09', 'end_date': '2010-01', 'duration_years': 3, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members'], 'employment_type': 'Employed'}, {'title': 'Project Supervisor', 'company': 'Pacheco-Perez', 'start_date': '2004-05', 'end_date': '2007-02', 'duration_years': 3, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members', 'Led special projects and initiatives'], 'employment_type': 'Employed'}, {'title': 'Electrician', 'company': 'Torres-Williams', 'start_date': '2002-02', 'end_date': '2004-02', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Electrician', 'company': 'Thomas and Sons', 'start_date': '2001-08', 'end_date': '2002-09', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Plumber', 'company': 'Holt-Frye', 'start_date': '2000-03', 'end_date': '2001-10', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Electrician', 'company': 'Miller Inc', 'start_date': '1999-10', 'end_date': '2000-05', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Plumber', 'company': 'Gordon PLC', 'start_date': '1998-08', 'end_date': '1999-11', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}]","['Data Entry', 'Bengali', 'PowerPoint', 'Arabic', 'Leadership', 'Customer Service', 'Problem Solving', 'Project Management', 'French', 'Communication', 'Time Management', 'Teamwork', 'Computer Literacy', 'Adaptability']",['Professional Development'],"[{'language': 'Urdu', 'proficiency': 'Native'}, {'language': 'English', 'proficiency': 'Advanced'}]",Motivated professional seeking growth opportunities and advance to senior leadership positions.,"{'minimum': 16891.966666666667, 'preferred': 19963.233333333334, 'maximum': 24570.133333333335}"
APP-2024-0005,Scott Khan,scott.khan@hotmail.com,+971529747741,"Apartment 2112, Building 330, City Center, Umm Al Quwain, UAE",business,,,Part-time,18,"[{'degree': 'High School Diploma', 'institution': 'Umm Al Quwain Secondary School', 'graduation_year': 2003, 'gpa': 3.69}]","[{'title': 'Marketing Specialist', 'company': 'Phillips-Miles', 'start_date': '2020-04', 'end_date': '2025-10', 'duration_years': 5, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members', 'Led special projects and initiatives', 'Managed departmental processes', 'Contributed to strategic planning'], 'employment_type': 'Employed'}, {'title': 'Business Analyst', 'company': 'Dalton Group', 'start_date': '2015-07', 'end_date': '2020-06', 'duration_years': 5, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Business Analyst', 'company': 'Perez-Bennett', 'start_date': '2012-11', 'end_date': '2015-11', 'duration_years': 3, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members'], 'employment_type': 'Employed'}, {'title': 'Marketing Specialist', 'company': 'Campbell Inc', 'start_date': '2007-06', 'end_date': '2012-10', 'duration_years': 5, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members', 'Led special projects and initiatives', 'Managed departmental processes', 'Contributed to strategic planning'], 'employment_type': 'Employed'}]","['Data Entry', 'Hindi', 'Leadership', 'Customer Service', 'Problem Solving', 'Project Management', 'French', 'Communication', 'Time Management', 'Teamwork', 'Computer Literacy', 'Adaptability', 'Microsoft Office']",[],"[{'language': 'Urdu', 'proficiency': 'Native'}, {'language': 'English', 'proficiency': 'Advanced'}]",Seeking opportunities to apply analytical and leadership skills and advance to senior leadership positions.,"{'minimum': 3096.133333333333, 'preferred': 3659.0666666666666, 'maximum': 4503.466666666666}"
APP-2024-0006,Carrie Perez,carrie.perez@hotmail.com,+971504441319,"Apartment 376, Building 38, Marina, Dubai, UAE",hospitality,Hotel Manager,Price Inc,Employed,16,"[{'degree': 'High School Diploma', 'institution': 'Sharjah Secondary School', 'graduation_year': 2001, 'gpa': 3.5}]","[{'title': 'Hotel Manager', 'company': 'Bailey, Vargas and Hughes', 'start_date': '2024-01', 'end_date': 'Present', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Restaurant Server', 'company': 'Wood Inc', 'start_date': '2023-12', 'end_date': '2024-10', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Event Coordinator', 'company': 'Howell-Mitchell', 'start_date': '2021-07', 'end_date': '2023-02', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Hotel Manager', 'company': 'Bennett-Smith', 'start_date': '2016-08', 'end_date': '2021-02', 'duration_years': 5, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Event Coordinator', 'company': 'Mathis-Conner', 'start_date': '2011-11', 'end_date': '2016-10', 'duration_years': 5, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Restaurant Server', 'company': 'Kemp Group', 'start_date': '2010-06', 'end_date': '2011-11', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Tourism Guide', 'company': 'Stokes, Martinez and Booth', 'start_date': '2009-06', 'end_date': '2010-02', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}]","['Data Entry', 'Tagalog', 'PowerPoint', 'Arabic', 'Hindi', 'Leadership', 'Customer Service', 'Problem Solving', 'Project Management', 'French', 'Communication', 'Time Management', 'Teamwork', 'Adaptability', 'Microsoft Office']",['Industry Training'],"[{'language': 'Arabic', 'proficiency': 'Native'}, {'language': 'English', 'proficiency': 'Fluent'}]",Motivated professional seeking growth opportunities and advance to senior leadership positions.,"{'minimum': 7181.900000000001, 'preferred': 8487.7, 'maximum': 10446.400000000001}"
APP-2024-0007,Mohammed Al Nahyan,mohammed.alnahyan@hotmail.com,+971555564676,"Apartment 894, Building 948, Al Nakheel, Umm Al Quwain, UAE",construction,Construction Worker,Vega Ltd,Employed,14,"[{'degree': 'High School Diploma', 'institution': 'Abu Dhabi Secondary School', 'graduation_year': 2000, 'gpa': 3.07}]","[{'title': 'Plumber', 'company': 'Bowers Inc', 'start_date': '2024-01', 'end_date': 'Present', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Plumber', 'company': 'Mckenzie, Hall and Allen', 'start_date': '2022-10', 'end_date': '2024-07', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Plumber', 'company': 'Wilson, Beard and Brown', 'start_date': '2019-10', 'end_date': '2022-10', 'duration_years': 3, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members'], 'employment_type': 'Employed'}, {'title': 'Electrician', 'company': 'Frank, Hahn and Fox', 'start_date': '2017-12', 'end_date': '2019-05', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Project Supervisor', 'company': 'Gutierrez PLC', 'start_date': '2012-02', 'end_date': '2017-09', 'duration_years': 5, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members', 'Led special projects and initiatives', 'Managed departmental processes', 'Contributed to strategic planning'], 'employment_type': 'Employed'}, {'title': 'Project Supervisor', 'company': 'Arroyo Group', 'start_date': '2011-07', 'end_date': '2012-04', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}]","['Data Entry', 'Bengali', 'PowerPoint', 'Hindi', 'Leadership', 'Customer Service', 'Problem Solving', 'German', 'Communication', 'Time Management', 'Project Management', 'Adaptability', 'Microsoft Office']","['Industry Training', 'Professional Development']","[{'language': 'Arabic', 'proficiency': 'Native'}, {'language': 'English', 'proficiency': 'Fluent'}]",Motivated professional seeking growth opportunities and advance to senior leadership positions.,"{'minimum': 6326.466666666667, 'preferred': 7476.733333333334, 'maximum': 9202.133333333333}"
APP-2024-0008,Ali Al Shamsi,ali.alshamsi@gmail.com,+971505547027,"Apartment 1491, Building 501, Al Qasimia, Ajman, UAE",technology,Software Developer,"Simmons, Pierce and Roberts",Employed,5,"[{'degree': 'High School Diploma', 'institution': 'Ajman Secondary School', 'graduation_year': 2001, 'gpa': 3.01}, {'degree': ""Bachelor's in Computer Science"", 'institution': 'Zayed University', 'graduation_year': 2005, 'gpa': 3.47}]","[{'title': 'Web Developer', 'company': 'Cummings Group', 'start_date': '2022-01', 'end_date': 'Present', 'duration_years': 3, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives', 'Mentored junior team members', 'Led special projects and initiatives'], 'employment_type': 'Employed'}, {'title': 'System Administrator', 'company': 'Martin-Snyder', 'start_date': '2020-03', 'end_date': '2022-02', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}]","['Tagalog', 'PowerPoint', 'Node.js', 'Leadership', 'Python', 'React', 'Problem Solving', 'French', 'English', 'SQL', 'JavaScript', 'Teamwork', 'Computer Literacy', 'Adaptability', 'Microsoft Office']",['Microsoft Certified'],"[{'language': 'Arabic', 'proficiency': 'Native'}, {'language': 'English', 'proficiency': 'Advanced'}]",Seeking opportunities to leverage technical skills in software development and advance to senior leadership positions.,"{'minimum': 22726.000000000004, 'preferred': 26858.0, 'maximum': 33056.0}"
APP-2024-0009,Hamad Al Shamsi,hamad.alshamsi@yahoo.com,+971544608298,"Apartment 2479, Building 930, Al Qasimia, Ajman, UAE",business,Customer Service Representative,Jones-Austin,Employed,3,"[{'degree': 'High School Diploma', 'institution': 'Ras Al Khaimah Secondary School', 'graduation_year': 1998, 'gpa': 3.93}, {'degree': ""Bachelor's in Management"", 'institution': 'UAE University', 'graduation_year': 2002, 'gpa': 3.3}]","[{'title': 'Business Analyst', 'company': 'Espinoza-Villa', 'start_date': '2023-01', 'end_date': 'Present', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Project Manager', 'company': 'Nunez, Morales and Alexander', 'start_date': '2022-11', 'end_date': '2023-05', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}]","['Data Entry', 'PowerPoint', 'Hindi', 'Leadership', 'Urdu', 'German', 'Time Management', 'Communication', 'Adaptability', 'Microsoft Office']","['CRM Certified', 'PMP', 'Lean Management']","[{'language': 'Arabic', 'proficiency': 'Native'}, {'language': 'English', 'proficiency': 'Fluent'}]",Dedicated professional seeking to drive business growth and efficiency and advance to senior leadership positions.,"{'minimum': 17619.433333333334, 'preferred': 20822.966666666667, 'maximum': 25628.266666666666}"
APP-2024-0010,Anthony Khan,anthony.khan@hotmail.com,+971569891501,"Apartment 964, Building 765, Al Majaz, Fujairah, UAE",finance,Bank Teller,Self-Employed,Self-employed,10,"[{'degree': 'High School Diploma', 'institution': 'Fujairah Secondary School', 'graduation_year': 2006, 'gpa': 3.26}, {'degree': ""Bachelor's in Business"", 'institution': 'American University', 'graduation_year': 2010, 'gpa': 3.4}]","[{'title': 'Accountant', 'company': 'Self-Employed', 'start_date': '2022-01', 'end_date': 'Present', 'duration_years': 3, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Self-employed'}, {'title': 'Financial Advisor', 'company': 'Morse-Andrade', 'start_date': '2021-05', 'end_date': '2022-12', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Bank Teller', 'company': 'Cook, Porter and Smith', 'start_date': '2020-04', 'end_date': '2021-09', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Accountant', 'company': 'Russo Ltd', 'start_date': '2019-04', 'end_date': '2020-05', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Insurance Agent', 'company': 'Sanders, Jones and Myers', 'start_date': '2017-04', 'end_date': '2019-03', 'duration_years': 2, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards', 'Supported organizational objectives'], 'employment_type': 'Employed'}, {'title': 'Insurance Agent', 'company': 'Madden-Evans', 'start_date': '2016-06', 'end_date': '2017-09', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}, {'title': 'Bank Teller', 'company': 'Gonzalez-Cannon', 'start_date': '2015-08', 'end_date': '2016-02', 'duration_years': 1, 'responsibilities': ['Performed daily operational tasks', 'Collaborated with team members', 'Maintained quality standards'], 'employment_type': 'Employed'}]","['Teamwork', 'PowerPoint', 'Hindi', 'Financial Analysis', 'Excel', 'Arabic', 'Customer Service', 'Problem Solving', 'Project Management', 'German', 'SAP', 'Time Management', 'Adaptability', 'Accounting Software', 'Computer Literacy', 'QuickBooks', 'Microsoft Office']","['Tax Preparation', 'Financial Planning']","[{'language': 'Urdu', 'proficiency': 'Native'}, {'language': 'English', 'proficiency': 'Intermediate'}]",Dedicated to contributing value and achieving organizational goals and advance to senior leadership positions.,"{'minimum': 66794.20000000001, 'preferred': 78938.6, 'maximum': 97155.20000000001}"
